2022-05-23 02:48:41.783 - sdk-generator - INFO  --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1069 ms
2022-05-23 02:48:44.212 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-23 02:48:44.963 - sdk-generator - INFO  --- [main] s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-05-23 02:48:44.969 - sdk-generator - INFO  --- [main] c.saidake.common.swagger2.SwaggerAutoConfiguration - sdk.swagger.enabled start check
2022-05-23 02:48:47.127 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-23 02:48:47.151 - sdk-generator - WARN  --- [main] o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2022-05-23 02:48:47.308 - sdk-generator - INFO  --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 48123 (http) with context path ''
2022-05-23 02:48:47.316 - sdk-generator - INFO  --- [main] c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP sdk-generator 192.168.22.1:48123 register finished
2022-05-23 02:48:49.186 - sdk-generator - INFO  --- [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-05-23 02:48:49.186 - sdk-generator - INFO  --- [main] s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-05-23 02:48:49.202 - sdk-generator - INFO  --- [main] s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-05-23 02:48:49.226 - sdk-generator - INFO  --- [main] s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-05-23 02:48:49.292 - sdk-generator - INFO  --- [main] com.saidake.generator.GeneratorApp - Started GeneratorApp in 13.163 seconds (JVM running for 14.605)
2022-05-23 02:48:49.297 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入service文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\service\TUserShareService.java
2022-05-23 02:48:49.298 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入serviceImpl文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\service\impl\TUserShareServiceImpl.java
2022-05-23 02:48:49.298 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入controller文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\controller\TUserShareController.java
2022-05-23 02:48:49.300 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 创建新文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\request\tUserShare\TUserShareLoginRequest.java
2022-05-23 02:48:49.301 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 写入特殊服务dto文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\request\tUserShare\TUserShareLoginRequest.java
2022-05-23 02:48:49.302 - sdk-generator - INFO  --- [main] c.s.g.service.generator.impl.GeneratorServiceImpl - 创建新文件成功: D:\Desktop\DevProject\bluetooth-app\src\main\java\com\saidake\model\request\tUserShare\TUserShareCancelAccountRequest.java
